network_age,Aggregate_Total_Rev,Aggregate_SMS_Rev,Aggregate_Data_Rev,Aggregate_Data_Vol,Aggregate_ONNET_REV,Aggregate_OFFNET_REV,aug_user_type_3G,sep_user_type_3G,aug_fav_a_mobilink,aug_fav_a_ufone,sep_fav_a_mobilink,sep_fav_a_ufone,Class
683,436.66,14.81,5,345.6699,1507,22946,1,0,0,0,0,1,Churned
708,1266.4404,5.98,93.75,1871998.521,14752,19432,1,1,0,0,0,1,Active
715,600.18,2.99,0,1026631.681,0,3883,1,1,1,0,0,1,Active
719,1126.4024,21.15,13.75,1227795.178,4446,25348,0,0,1,0,0,1,Churned
727,732.5588,8.33,3.75,252.875,7793,34971,0,0,1,0,1,0,Active
731,828.7404,3.52,2.5,35674.9864,10912,20756,0,0,0,0,0,1,Active
765,1804.326,35.56,1.25,17363.8516,14601,52812,0,0,0,0,0,1,Churned
767,2645.38,14.9,200,8888117.754,717,179,1,1,0,0,0,1,Active
770,550.072,7.74,5,52776.748,5123,4254,0,0,0,0,0,1,Active
793,3563.29,27.87,68.75,7069080.733,20812,149661,1,1,0,0,0,1,Active
827,723.748,20.31,22.5,43013.333,6638,3286,0,0,1,0,0,1,Churned
884,570.3384,38.24,2.5,79.0713,4365,27494,0,0,0,0,0,0,Churned
888,878.65,8.76,47.5,115805.208,16570,19751,0,0,0,0,0,1,Active
912,1699.438,37.5,6.25,69330.2549,9562,29554,0,0,0,0,0,1,Active
936,493.126,32.29,26.25,6733.9004,12,20042,0,0,1,0,1,0,Churned
939,580.074,31.84,5,103.6934,753,2736,1,1,0,0,0,1,Churned
942,2355.77,166.58,338.75,3161488.526,20951,63017,1,1,0,1,0,0,Churned
944,411.5724,22.85,0,8644.9922,4894,8263,0,0,0,0,0,0,Churned
958,3607.842,6.58,211.25,779097.3349,17628,124294,1,1,0,0,0,1,Active
974,1024.14,48.13,52.5,415468.2871,14845,11328,1,1,0,0,0,1,Active
981,1208.6004,1.75,2.5,31.3535,18345,7434,0,0,0,1,0,1,Active
993,414.622,4.7,91.25,12065888.21,6503,3617,1,1,0,0,0,1,Active
1022,153.3308,24.79,1.25,1502.9111,1974,2975,0,0,0,0,0,1,Active
1033,833.3044,36.34,110,1087124.287,4518,9561,1,1,1,0,0,1,Churned
1038,261.8384,23.65,10,7982150.938,2940,6631,0,1,1,0,0,0,Active
1053,943.31,6.72,20,229811.9453,3819,2390,1,1,0,1,0,1,Active
1056,3746.818,0,42.5,14007530.84,4302,179,1,1,0,0,0,1,Active
1056,847.1732,25.24,23.75,274.0664,14788,19779,1,1,0,0,0,1,Active
1070,427.3776,1.75,26.25,16845.0557,5263,7771,0,1,0,0,0,0,Active
1071,1434.948,43.59,0,21161.9307,17862,6966,1,1,0,0,0,1,Churned
1085,1606.79,6.53,1.25,7829.7617,2008,44787,1,1,0,0,0,1,Active
1089,1420.52,2.36,63.75,11506415.47,598,7989,1,1,0,0,0,1,Active
1097,1078.81,16.38,0,1457.3662,15225,9692,0,0,0,0,0,1,Active
1102,1049.1904,28.71,3.75,905747.2099,0,358,0,0,0,0,0,1,Active
1106,1382.1984,5.98,0,774782.8448,1434,0,0,1,0,0,0,1,Churned
1128,174.47,1.75,10,126522.1094,0,3298,0,0,0,0,0,0,Churned
1139,1471.818,4.97,0,313391.7676,3788,21316,1,1,0,0,0,1,Active
1144,248.49,21.51,6.25,179.457,323,4373,1,1,0,1,0,0,Churned
1165,1357.13,26.85,0,51771.2051,37349,1458,1,1,0,0,0,1,Churned
1168,2833.12,39.45,0,863.1045,0,44159,0,0,1,0,0,1,Churned
1177,1018.358,7,0,390166.9218,610,2471,0,0,0,0,0,1,Active
1201,55.6948,23.9,2.5,6.9453,0,609,0,0,0,0,0,0,Churned
1235,101.44,23.49,20,44502.5,765,1422,1,1,0,0,0,0,Churned
1237,1148.69,5.98,0,1970897.523,6692,9321,0,0,0,0,0,1,Active
1244,39.098,10.77,0,458.4746,0,179,1,1,0,0,0,0,Churned
1249,2206.0492,0,41.25,5124299.415,2868,13740,0,0,1,0,0,1,Active
1258,62.658,20.88,1.25,35.6611,12,1601,0,0,0,1,0,0,Churned
1259,776.6788,37.22,57.5,6613.5732,11378,30129,1,1,0,0,0,0,Churned
1277,138.716,48.57,6.25,31.1982,718,3537,0,0,0,0,0,1,Active
1307,141.838,0,30,882.1299,2665,4051,0,0,1,0,0,0,Churned
1316,127.79,43.02,17.5,669.8418,60,788,0,0,0,1,0,1,Churned
1329,46.504,13.7,0,3704.3213,0,1606,1,1,0,0,0,0,Churned
1341,514.774,26.99,0,830.3135,1004,2402,0,0,0,0,0,1,Churned
1345,963.08,0,0,14.7383,2940,1458,0,0,0,0,0,1,Active
1351,1448.5,174.1,101.25,1010556.221,2737,1887,0,0,0,0,0,1,Active
1353,179.564,12.43,25,3515.5859,741,6382,1,1,0,0,1,0,Churned
1357,77.79,38.24,0,9532.3896,0,1159,0,0,0,0,0,0,Churned
1366,1313.81,21.4,6.25,17225.3789,3060,72309,0,0,0,0,0,0,Active
1370,1595.9604,7.17,0,55495.3438,13539,7673,0,0,0,1,0,1,Active
1370,394.6204,29.28,0,1853.6602,837,25087,0,0,0,1,0,0,Churned
1383,503.3184,24.5,27.5,955695.5263,1734,11209,0,0,0,0,0,1,Active
1404,238.97,29.45,2.5,24.0059,1757,3800,0,0,0,0,0,0,Churned
1414,388.072,10.03,22.5,899.8955,2910,9416,1,1,0,0,0,0,Churned
1417,903.27,0,22.5,2166780.011,0,537,0,1,0,0,0,1,Active
1420,174.5888,15.45,47.5,625312.2119,0,358,1,1,0,0,0,0,Churned
1421,563.43,17.5,15,36468.0557,60,4099,1,1,0,0,0,1,Active
1426,1158.8744,12.89,2.5,12780320.19,5634,7794,0,0,0,0,0,0,Active
1429,1665.54,0.12,105,10967190.07,24,358,1,1,0,0,0,0,Active
1443,878.83,60.56,2.5,171.8359,14497,8664,0,0,0,0,0,0,Active
1452,2506.39,14.36,76.25,3601110.346,0,1015,1,1,0,0,0,1,Active
1452,515.2484,11.14,26.25,2381.3155,0,19300,0,0,0,0,0,0,Churned
1469,68.88,29.79,0,1.2246,0,1613,1,1,0,0,0,0,Churned
1472,1977.9044,36.75,1.25,0.1211,44234,22404,0,0,0,1,0,1,Active
1482,1402.31,0,116.25,10793566.93,8838,10434,0,0,0,0,0,1,Active
1487,1254.8604,90.32,0,4491.7324,1497,14184,0,0,0,0,0,1,Active
1487,466.2008,0,3.75,13.9531,12856,7517,0,0,0,0,0,1,Active
1488,1404.3444,45.07,146.25,1209653.019,16087,52733,1,1,0,1,0,1,Churned
1500,1053.0588,59.47,3.75,17.998,33867,21572,0,0,1,0,0,1,Active
1502,93.666,1.2,72.5,3851397.811,60,537,1,1,0,1,0,0,Churned
1507,972.838,0,82.5,2162778.789,0,537,1,1,0,0,0,1,Active
1518,451.42,20.87,73.75,43029.7725,2917,14055,1,1,0,0,0,1,Churned
1523,1495.5104,51.62,67.5,695944.6221,7500,3298,1,1,0,0,0,1,Active
1529,219.0592,33.69,7.5,107.4082,1829,7696,1,1,0,0,0,0,Churned
1564,1513.65,13.7,172.5,15350682.25,0,9225,1,1,0,0,0,1,Active
1570,386.4308,12.25,2.5,49.6992,5472,3838,1,1,0,0,0,1,Active
1589,2283.97,149.5,72.5,12941401.86,3370,179,1,1,0,0,0,0,Active
1597,59.65,0.04,0,203.6465,1932,1254,0,0,0,0,0,0,Churned
1604,3273.0868,66.12,62.5,83012.2188,24481,117931,0,0,0,0,0,1,Active
1621,2279.89,23.9,26.25,1650224.25,0,1374,1,1,0,0,0,1,Active
1622,2609.8708,102.13,26.25,14549139.28,6862,26891,0,0,0,0,0,1,Active
1625,466.73,2.92,0,824.752,4195,8903,0,0,0,0,0,1,Active
1625,291.672,18.08,8.75,14613.6963,10673,3597,1,1,1,0,0,1,Churned
1649,129.6908,0.01,27.5,484796.5537,526,537,1,1,0,0,0,0,Active
1653,1105.912,13.72,60,2959285.291,0,895,1,1,0,0,0,1,Active
1669,1793.98,5.98,60,2890778.35,0,32193,1,1,0,0,0,1,Active
1670,3443.4264,13.62,0,6576.8135,58273,127941,0,0,0,0,0,1,Active
1673,875.4,0,0,126876.5254,0,0,1,1,0,0,0,1,Active
1675,579.7812,25.16,17.5,274330.2383,6753,6346,1,1,0,0,0,0,Churned
1685,1405.71,5.98,1.25,1590797.961,0,716,1,1,0,0,0,1,Active
1686,1460.28,14.34,1.25,312416.3614,4565,19526,1,1,0,1,0,1,Active
1706,158.016,48.22,1.25,98.5938,1781,5175,1,1,0,0,1,0,Churned
1727,598.072,28.68,0,1024000,478,5735,1,1,0,0,0,1,Churned
1743,2220.414,90.84,20,36098.0088,6998,31570,0,0,0,0,0,1,Active
1754,590.0068,28.51,17.5,645.0088,3980,27917,0,0,0,0,0,0,Churned
1758,556.3616,5.25,0,190.5137,10655,10253,0,0,0,0,0,1,Active
1770,1032.65,0,0,5080.3379,1231,7826,0,0,0,0,0,1,Active
1772,1807.03,18.99,21.25,1609224.565,1908,13709,1,1,0,0,0,1,Active
1775,2168.4692,38.68,5,2499114.184,11400,13539,1,1,0,1,0,1,Active
1781,662.7964,7,0,264601.5156,1506,8317,0,0,0,0,0,1,Active
1785,960.5568,35.25,353.75,487125.9462,2954,13313,0,0,0,1,0,1,Churned
1792,2648.71,30.48,21.25,88369.0947,23459,83316,1,1,0,0,0,1,Active
1794,1248.5104,57.73,158.75,5109445.314,16540,20590,1,1,0,0,0,1,Active
1803,323.354,1.75,23.5,13397.5117,10578,9213,0,0,0,0,0,1,Active
1822,920.16,0,0,53584.456,0,0,1,1,1,0,0,1,Active
1822,1621.36,100.98,12.5,198.5088,12645,109895,0,0,1,0,1,0,Churned
1835,4246.56,122.8,0,889.876,52860,98601,1,1,0,0,0,1,Active
1850,39.28,18.48,0,10.749,490,920,0,0,0,1,0,1,Churned
1860,504.546,15.04,0,6.8154,19170,12812,1,1,0,0,0,1,Churned
1867,1015.86,135.94,92.5,3707693.869,2524,8831,1,1,0,1,0,1,Active
1867,294.344,20.32,7.5,689476.9512,3012,3286,0,0,0,0,0,0,Churned
1877,1632.5604,50.66,1.25,5.0371,46484,38329,0,0,0,0,0,1,Churned
1883,712.064,19.24,26.25,1863.6113,13904,5377,0,1,0,0,0,1,Active
1884,438.49,38.3,20,3461.6777,6657,13780,1,1,0,0,1,0,Churned
1886,69.44,11.95,0,33794.6855,0,1027,1,1,0,0,0,0,Churned
1908,171.05,44.75,27.5,1593.4805,1124,967,0,0,0,1,0,1,Churned
1912,876.27,0.87,0,1754570.742,0,0,1,1,0,0,0,1,Active
1913,1146.21,0,0,1.04,4195,17316,0,0,0,0,0,1,Active
1916,187.1104,12.55,63.75,2491.7158,502,1601,1,1,0,0,0,0,Churned
1948,437.94,0,0,1964654.537,0,0,0,0,0,0,0,1,Churned
1964,1174.822,1.75,238.75,5272612.691,4512,24678,0,0,0,0,0,0,Churned
1971,922.6,2.39,0,76402.3769,0,4481,1,1,0,0,0,1,Active
1974,1047.55,7.87,250,4177100.395,275,4408,1,1,0,0,0,1,Active
1977,2341.4544,26.01,50.25,125704.6631,17346,12770,0,0,0,1,0,1,Active
1987,362.81,18.95,0,4635.3145,2773,14879,1,1,1,0,1,0,Churned
1994,1470.1992,3.59,1.25,11.3418,13426,13511,0,0,0,0,0,1,Active
2009,1293.47,18.44,3.75,62.6748,49932,30048,1,1,0,0,0,1,Active
2013,1419.982,19.25,206.25,2259772.761,992,44084,1,1,0,0,0,0,Churned
2029,360.048,21.51,2.5,132.9922,3150,9370,0,0,0,0,0,1,Churned
2033,1853.43,5.98,5,556725.6933,0,30831,1,1,0,0,0,1,Active
2040,1180.4804,0.02,52.5,7587747.121,3585,9978,1,1,0,0,0,1,Active
2051,342.37,2.62,0,547.8291,4853,0,0,0,0,0,0,1,Active
2067,423.61,135.66,21.25,3854.166,2571,1207,0,0,0,0,0,0,Active
2081,1230.82,6.85,23.75,283468.3819,7852,41160,1,1,0,1,0,0,Active
